evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
174;2003-04-26;2003-04-26;11.71;11.71;11.71;1;9.438857142857144;1.2406162973725632
175;2003-04-29;2003-04-29;11.176;11.176;11.176;1;9.033285714285713;1.2372020938434047
176;2003-05-01;2003-05-02;7.686;7.2355;14.471;2;9.531857142857143;0.8063486354030843
177;2003-05-04;2003-05-06;7.236;6.935333333333333;20.806;3;8.389714285714286;0.8624846751123825
178;2003-09-30;2003-10-07;66.758;27.66875;221.35;8;0.3922857142857143;170.1769847050255
179;2003-10-19;2003-11-13;51.224;15.733115384615385;409.061;26;3.667857142857143;13.96564751703992
180;2003-11-15;2003-11-20;22.709;13.436166666666667;80.617;6;11.525142857142857;1.970387723734444
181;2003-11-22;2003-12-23;35.413;14.689343749999999;470.05899999999997;32;12.491285714285715;2.8350164114411185
182;2003-12-30;2004-01-02;10.583;9.757;39.028;4;6.333571428571427;1.6709371828126767
183;2004-03-12;2004-03-14;18.646;13.348666666666666;40.046;3;4.553571428571429;4.0948078431372545
184;2004-04-01;2004-04-02;14.092;12.3375;24.675;2;4.4077142857142855;3.19712192908537
185;2004-05-24;2004-05-26;14.092;10.063666666666668;30.191000000000003;3;4.289285714285715;3.2853955037468774
186;2004-06-01;2004-06-02;4.261;4.1015;8.203;2;5.9744285714285725;0.7132062839243442
187;2004-08-18;2004-08-20;1.354;0.9043333333333333;2.713;3;0.1742857142857143;7.768852459016394
188;2004-10-19;2004-11-07;98.957;21.36765;427.353;20;0.08714285714285715;1135.5721311475409
189;2005-03-26;2005-03-27;18.63;13.5865;27.173;2;1.092;17.06043956043956
190;2005-04-03;2005-04-04;21.548;16.1875;32.375;2;4.58742857142857;4.69718485301445
191;2005-10-12;2005-10-12;10.6;10.6;10.6;1;0.13714285714285715;77.29166666666666
192;2005-10-22;2005-10-23;6.023;5.6795;11.359;2;2.1189999999999998;2.8423784804152903
193;2005-10-28;2005-11-02;80.113;29.981166666666667;179.887;6;3.244428571428571;24.692483818413987
194;2005-12-02;2005-12-02;10.6;10.6;10.6;1;1.8842857142857146;5.625473843821076
195;2006-03-04;2006-03-04;11.066;11.066;11.066;1;1.3838571428571427;7.996490141426656
196;2006-03-18;2006-03-28;28.988;17.166272727272727;188.829;11;3.638714285714286;7.96655019433866
197;2006-04-06;2006-04-07;21.322;16.7215;33.443;2;5.786714285714285;3.684647098032439
198;2006-04-15;2006-04-15;24.229;24.229;24.229;1;5.9427142857142865;4.077093199355753
199;2006-10-17;2006-11-01;100.805;24.5820625;393.313;16;0.16;630.03125
200;2006-11-03;2006-11-06;22.745;13.0135;52.054;4;11.158714285714286;2.0383172664541487
201;2006-11-16;2006-11-20;28.988;14.947399999999998;74.737;5;4.033571428571428;7.186683194616611
202;2006-11-24;2006-11-29;97.604;37.056666666666665;222.34;6;9.116857142857143;10.705882352941178
203;2006-12-05;2006-12-06;12.121;10.2255;20.451;2;7.651428571428572;1.5841486183719193
204;2006-12-08;2006-12-10;12.649;9.229666666666667;27.689;3;7.4201428571428565;1.7046841608748389
205;2007-02-12;2007-02-12;7.925;7.925;7.925;1;1.3978571428571427;5.669391926417987
206;2007-02-14;2007-02-14;8.33;8.33;8.33;1;2.960142857142857;2.8140533758023265
207;2007-06-14;2007-06-23;31.491;8.0276;80.276;10;0.833;37.80432172869148
208;2007-07-01;2007-07-09;1.482;1.4056666666666666;12.651;9;2.3855714285714282;0.6212348044793102
209;2007-08-26;2007-08-31;1.032;0.652;3.912;6;0.18285714285714286;5.64375
210;2007-09-30;2007-10-04;23.177;12.774000000000001;63.870000000000005;5;0.48;48.28541666666667
211;2007-11-20;2007-11-21;26.399;17.5655;35.131;2;0.231;114.28138528138528
212;2008-01-11;2008-01-11;10.871;10.871;10.871;1;3.9937142857142858;2.722027471741308
213;2008-02-03;2008-02-03;7.907;7.907;7.907;1;2.2855714285714286;3.459528720545034
214;2008-02-19;2008-02-19;10.42;10.42;10.42;1;2.7627142857142855;3.7716531361497494
215;2008-04-08;2008-04-13;74.692;31.1875;187.125;6;1.055;70.79810426540284
216;2008-04-18;2008-04-21;23.177;16.225;64.9;4;11.246142857142859;2.060884366703504
